id,status,priority,category,title,item_count,target_user,why_girls_might_want_it,style_direction,required_assets,qa_notes,next_action
SHOP-001,in_progress,P0,Sticker Pack,Faith Canvas Pastel Stickers,12,"girls decorating daily journals and verse art","core faith symbols and words for everyday pages","bold puffy stickers; cream blush sage mint sky blue coral; readable at 52px","12 sticker PNGs plus 12 preview PNGs","must pass tiny picker readability; current art should be judged against puffy readable standard","review in app and decide whether to keep or replace again"
SHOP-002,ready_to_brief,P0,Background Pack,Pastel Notebook Paper,10,"girls who want pretty writing pages","makes journals feel like cute stationery instead of blank forms","soft lined paper, dotted paper, blush grid, mint note paper, sky blue notebook, tiny margin hearts","10 full backgrounds plus 10 previews","text must stay readable over every background","write art brief and generate backgrounds"
SHOP-003,ready_to_brief,P0,Journal Kit,Prayer Night Kit,24,"girls using prayer journal at night","cozy prayer pages with stars, moon, hearts, and gentle labels","sleepover journal vibe; lavender avoided as dominant; use blush, cream, sky, gold, sage","12 stickers, 6 labels, 6 backgrounds","avoid dark backgrounds; no tiny stars that clutter text","scope as first paid-style bundle"
SHOP-004,ready_to_brief,P1,Sticker Pack,Hearts and Halos,16,"girls who like cute decorative faith stickers","heart-heavy pack works across every journal type","puffy hearts, halos, tiny crosses, sparkle labels, bows","16 stickers plus previews","icons must be recognizable without labels","create item list and style sheet"
SHOP-005,ready_to_brief,P1,Sticker Pack,Bible Study Besties,14,"girls doing Bible study notes","study-themed items feel more personal than generic faith icons","cute highlighter, bookmark, Bible tab, note label, mug, pencil, heart, star","14 stickers plus previews","no tiny writing on books or notes","brief and produce after core pack"
SHOP-006,ready_to_brief,P1,Background Pack,Soft Floral Margins,8,"girls who like decorated pages but still need writing space","adds pretty edges while keeping the center usable","cream pages with corner flowers, side vines, soft heart borders","8 full backgrounds plus previews","center must remain low contrast and uncluttered","make templates with safe text area"
SHOP-007,ready_to_brief,P1,Verse Card Templates,Heart Verse Cards,12,"girls creating favorite verse art","ready-made layouts make verse art feel finished","heart frames, ribbon labels, puffy title spaces, soft paper textures","12 template backgrounds or structured assets","must work with long verses and short verses","decide technical format before art"
SHOP-008,ready_to_brief,P2,Sticker Pack,Sunday Morning,14,"girls taking church notes","church-day pages get their own fun supplies","sunrise, church note labels, worship heart, amen bubble, coffee/cocoa, Bible bag","14 stickers plus previews","avoid church-building detail that becomes unreadable","brief after Prayer Night Kit"
SHOP-009,ready_to_brief,P2,Journal Kit,Thankful Heart Kit,22,"girls writing gratitude entries","gratitude is a repeatable journaling habit","thankful labels, heart stickers, warm paper backgrounds, gratitude prompts","10 stickers, 6 labels, 6 backgrounds","prompt text must be short and readable","schedule for seasonal or evergreen release"
SHOP-010,ready_to_brief,P2,Sticker Pack,Brave Girl Faith,12,"girls needing encouragement","encouraging words are useful on hard-day journal pages","bold word stickers: brave, chosen, loved, strong, peace, hope; cute shields and hearts","12 stickers plus previews","avoid pressure or shame wording","write approved word list"
SHOP-011,ready_to_brief,P2,Background Pack,Glitter Cloud Paper,8,"girls who like dreamy decorative journals","soft cloud pages feel magical without blocking text","cloud bands, subtle glitter, cream center, sky and blush edges","8 full backgrounds plus previews","must not look like noisy texture at text area","prototype one background first"
SHOP-012,ready_to_brief,P3,Sticker Pack,Worship Night,12,"girls decorating worship or church pages","music-themed supplies make church notes more fun","music notes, lyric label, worship heart, praise bubble, hands heart","12 stickers plus previews","avoid detailed hands or tiny staff lines","hold until more core journal packs exist"
SHOP-013,ready_to_brief,P3,Sticker Pack,Soft School Faith,14,"girls using Faith Canvas around school routines","school-themed faith stickers connect app to daily life","backpack, notebook, pencil, lunch note, brave label, prayer before test","14 stickers plus previews","no school names or identity-like details","brief for back-to-school timing"
SHOP-014,ready_to_brief,P3,Journal Kit,Lock Screen Verse Kit,18,"girls making verse images to save","templates for shareable-looking personal verse art without social features","phone wallpaper backgrounds, verse frames, simple sticker accents","8 backgrounds, 10 stickers","must remain private/local and not imply social posting","define export flow dependency"
SHOP-015,ready_to_brief,P3,Sticker Pack,Seasonal Sweet Faith,16,"girls who like seasonal decorating","seasonal packs drive freshness in the shop","spring blooms, summer sunshine, fall cozy, winter sparkle, all faith-safe","16 stickers plus previews","avoid holiday theology complexity unless reviewed","split into seasons later"
SHOP-016,ready,P0,Sticker Pack,Prayer Night,12,"girls decorating prayer journal entries","cozy night prayer theme maps directly to repeated prayer journaling","puffy cream blush sky blue gold; moon stars clouds hearts prayer labels","12 stickers plus previews","large sparse stars only; no tiny handwriting","wired as prayer-night-stickers; review in Shop and journal trays"
SHOP-017,ready_to_brief,P0,Sticker Pack,Bible Study Besties,14,"girls doing Bible study notes and verse art","cute study supplies feel useful and familiar","highlighter bookmark Bible tab pencil sticky note mug bow paperclip; faith accents","14 stickers plus previews","no tiny page lines or writing on books","brief after Prayer Night"
SHOP-018,ready_to_brief,P0,Sticker Pack,Brave Girl Faith,12,"girls using journals for encouragement","bold encouragement words are useful on hard-day pages","puffy word stickers with hearts shields bows clouds and small crosses","12 stickers plus previews","avoid shame or pressure wording","approve exact word list before art"
SHOP-019,ready_to_brief,P1,Sticker Pack,Sunday Notes,14,"girls taking church notes","church-day workflow needs its own supplies","sunrise cross worship heart sermon notes labels cocoa Bible bag ribbons","14 stickers plus previews","avoid detailed church buildings","brief once core prayer and study packs are done"
SHOP-020,ready_to_brief,P2,Sticker Pack,Cozy Devotional Desk,12,"girls who like stationery and quiet-time aesthetics","desk supplies and cozy icons make devotional pages feel personal","Bible mug lamp journal stack candle plant bookmark; chunky puffy icons","12 stickers plus previews","avoid detailed room scenes","hold until first three new packs are built"
